Symbol,Marketcap,ESG rating
A,43273355264,11.36
AAPL,3572851277824,16.79
ABBV,324977033216,26.1
ABNB,81951334400,23.39
ABT,221889478656,22.21
ACGL,35584942080,20.27
ACN,240778526720,11.09
ADBE,190421991424,14.06
ADI,105128370176,18.14
ADM,24515297280,33.7
ADP,123285987328,15.12
ADSK,67096567808,15.14
AEE,25144616960,26.97
AEP,52383092736,22.09
AES,7821297152,25.04
AFL,59652595712,18.58
AIG,45946826752,23.6
AIZ,11036535808,23.48
AJG,75395547136,20.26
AKAM,15007678464,13.31
ALB,9895693312,20.11
ALGN,16357241856,18.58
ALL,50929561600,21.29
ALLE,11538124800,19.83
AMAT,147683934208,11.56
AMCR,14092055552,14.69
AMD,192886292480,13.65
AME,42690203648,14.23
AMGN,153422675968,22.76
AMP,52271230976,18.71
AMT,86425100288,12.62
AMZN,2499205136384,26.1
ANET,145162141696,16.53
ANSS,30651224064,14.69
AON,80195756032,15.29
AOS,9758164992,26.82
APA,8112937984,43.08
APD,74554785792,14.83
APH,85333073920,17.89
APTV,14786111488,12.89
ARE,16850505728,13.14
ATO,22180255744,31.23
AVB,31506915328,8.09
AVGO,1037172146176,19.2
AVY,14922736640,10.98
AWK,24291588096,19.07
AXON,49731854336,30.49
AXP,223902892032,18.28
AZO,56223895552,10.98
BA,132251615232,36.55
BAC,352382812160,24.36
BALL,16622327808,10.31
BAX,16624745472,21.91
BBY,18356525056,13.67
BDX,71805984768,23.67
BEN,11653382144,19.67
BG,10629804032,32.92
BIIB,20973336576,20.51
BK,61670244352,19.93
BKNG,158014685184,14.99
BKR,45696311296,19.12
BLDR,19251419136,26.73
BLK,166572376064,18.25
BMY,119946158080,21.2
BR,27845298176,15.48
BRO,29928366080,21.11
BSX,150861234176,22.06
BWA,6976529920,10.53
BX,216281432064,23.59
BXP,12904675328,11.99
C,153659228160,21.89
CAG,12357814272,26.94
CAH,29872300032,11.32
CARR,59190083584,16.17
CAT,179331973120,28.33
CB,108943409152,23.3
CBOE,21390489600,21.46
CBRE,44293046272,6.31
CCI,38800912384,11.98
CCL,37406797824,21.94
CDNS,81626152960,14.49
CDW,26538192896,7.49
CE,7765524480,24.96
CEG,96526368768,28.49
CF,16046384128,28.16
CFG,20956631040,22.95
CHD,25852188672,22.65
CHRW,11760215040,17.44
CHTR,49041612800,23.69
CI,80551460864,12.99
CINF,21422972928,23.11
CL,70834855936,24.12
CLX,19641567232,20.03
CMCSA,128483590144,22.27
CME,85232820224,17.08
CMG,79507120128,22.6
CMI,48871088128,22.82
CMS,19719809024,20.26
CNC,32326504448,15.29
CNP,21226747904,24.78
COF,77660372992,21.31
COO,19269740544,14.69
COP,127842541568,33.14
COR,49280135168,10.97
COST,434967773184,29.12
CPAY,26524338176,22.46
CPB,11557685248,26.3
CPRT,55817179136,15.68
CPT,12130696192,14.18
CRL,8466620928,18.14
CRM,328796405760,15.18
CRWD,98049024000,17.75
CSCO,241355243520,12.91
CSGP,31402936320,21.68
CSX,63387160576,21.07
CTAS,80938819584,17.03
CTLT,11522381824,20.8
CTRA,20414255104,32.75
CTSH,40960020480,15.19
CTVA,45464403968,33.76
CVS,71074996224,18.27
CVX,278706323456,38.36
CZR,7659904000,19.88
D,46696157184,28.58
DAL,43408052224,30.38
DAY,11155697664,17.28
DD,32098945024,26.87
DE,129791598592,16.33
DECK,33895270400,14.23
DELL,72282243072,15.9
DFS,50536128512,22.81
DG,15627940864,21.2
DGX,18041307136,20.49
DHI,45525630976,21.64
DHR,160172343296,8.52
DIS,205133807616,15.14
DLR,55402541056,12.63
DLTR,15773111296,18.8
DOV,27943266304,24.45
DOW,27476086784,19.62
DPZ,15509011456,27.49
DRI,22871781376,27.46
DTE,24827267072,31.28
DUK,86510256128,27.16
DVA,14452628480,21.78
DVN,22400288768,31.55
DXCM,33915365376,20.24
EA,32235974656,12.96
EBAY,32342085632,15.2
ECL,70844301312,23.86
ED,32476971008,21.11
EFX,34059530240,22.21
EG,14935493632,17.96
EIX,20906100736,23.97
EL,29949534208,24.01
ELV,91771936768,9.31
EMN,11550730240,24.74
EMR,74010550272,22.79
ENPH,8414464512,19.9
EOG,70750584832,34.38
EPAM,14404967424,27.36
EQIX,88157405184,13.14
EQR,27622897664,11.43
EQT,30502488064,31.69
ERIE,21070215168,27.91
ES,21134065664,18.08
ESS,18952333312,11.61
ETN,129009090560,21.05
ETR,34768400384,25.02
EVRG,14775976960,29.24
EW,43185123328,21.7
EXC,40193200128,18.79
EXPD,15898474496,18.4
EXPE,21940748288,22.12
EXR,33966393344,13.67
F,40060841984,27.57
FANG,47991312384,37.31
FAST,41989955584,25.04
FCX,52648947712,28.1
FDS,18041812992,16.5
FDX,63794204672,19.02
FE,22937415680,27.51
FFIV,17245569024,16.3
FI,122909253632,17.47
FICO,45795053568,20.09
FIS,43859701760,18.24
FITB,29681231872,16.87
FMC,6963352064,25.08
FOXA,22749509632,12.22
FRT,9297924096,12.44
FSLR,17934356480,17.31
FTNT,77319774208,15.8
FTV,28217362432,27.9
GD,69472231424,34.09
GDDY,29977694208,18.99
GE,218571079680,32.49
GEHC,40341884928,21.46
