,Unnamed: 0,Ticker,ESG Score,Country
0,0,IYSMX,26.11,USA
1,1,USBSX,24.37,USA
2,2,RIMIX,26.69,USA
3,3,WFLVX,23.68,USA
4,4,PAFFX,23.63,USA
5,5,MGQLX,19.83,USA
6,6,MDIIX,22.34,USA
7,7,AWAKX,22.63,USA
8,8,VPCCX,23.02,USA
9,9,ACAZX,21.17,USA
10,10,HERCX,27.4,USA
11,11,GHAYX,32.7,USA
12,12,ARDVX,23.19,USA
13,13,FRDTX,22.34,USA
14,14,ANJIX,23.09,USA
15,15,PTBNX,23.5,USA
16,16,OISVX,26.19,USA
17,17,ZSCIX,29.55,USA
18,18,FWWFX,21.54,USA
19,19,SENAX,23.25,USA
20,20,NQVAX,25.02,USA
21,21,PNGYX,23.2,USA
22,22,JAENX,22.5,USA
23,23,MDDVX,24.87,USA
24,24,NIQTX,19.54,USA
25,25,LIPIX,22.82,USA
26,26,GGBZX,22.89,USA
27,27,PCGRX,23.61,USA
28,28,JLJAX,23.78,USA
29,29,WRAAX,22.95,USA
30,30,SWERX,22.72,Sweden
31,31,WAAEX,26.84,USA
32,32,NPFCX,23.09,USA
33,33,MADVX,24.87,USA
34,34,MLGRX,20.01,USA
35,35,HCACX,22.91,USA
36,36,JAMVX,25.18,USA
37,37,PCHSX,25.87,USA
38,38,ISZAX,23.99,USA
39,39,PCBCX,22.19,USA
40,40,IPESX,24.29,USA
41,41,DAFGX,19.6,USA
42,42,WCEYX,21.46,USA
43,43,QGRCX,23.92,USA
44,44,MFELX,20.59,USA
45,45,GLNMX,21.73,USA
46,46,USBNX,26.86,USA
47,47,DFQTX,23.64,USA
48,48,RSNRX,41.21,USA
49,49,AUSAX,27.54,USA
50,50,AGOZX,27.43,USA
51,51,FSPHX,26.95,USA
52,52,JILBX,24.67,USA
53,53,QUARX,28.78,USA
54,54,CSRSX,15.92,USA
55,55,GTNYX,22.08,USA
56,56,MUXYX,22.05,USA
57,57,OAKBX,25.17,USA
58,58,VEURX,21.64,USA
59,59,ARTMX,22.93,USA
60,60,CDVZX,23.28,USA
61,61,BIAHX,22.31,USA
62,62,PRGFX,21.15,USA
63,63,LTPDX,23.38,USA
64,64,BIAQX,25.59,USA
65,65,NRFYX,15.59,USA
66,66,MGOYX,23.58,USA
67,67,USMCX,22.22,USA
68,68,TWGAX,19.6,USA
69,69,HCAYX,22.91,USA
70,70,VCIGX,23.46,USA
71,71,JRLQX,23.23,USA
72,72,ACGQX,24.77,USA
73,73,IGAAX,23.11,USA
74,74,BLPIX,21.86,USA
75,75,WMGYX,23.41,USA
76,76,TCWAX,26.23,USA
77,77,ISGAX,23.93,USA
78,78,S2966.MC,22.82,Spain
79,79,FITHX,23.7,USA
80,80,RINGX,24.72,USA
81,81,OLVAX,24.82,USA
82,82,CHUSX,20.97,USA
83,83,PLWIX,23.5,USA
84,84,CPRAX,23.7,USA
85,85,GBLIX,23.82,USA
86,86,MNDIX,25.22,USA
87,87,GSCTX,28.93,USA
88,88,SGIIX,22.97,USA
89,89,BGLAX,25.42,USA
90,90,ARFFX,25.51,USA
91,91,DTGRX,21.6,USA
92,92,WEMCX,29.41,USA
93,93,KAUFX,27.61,USA
94,94,WAEMX,24.33,USA
95,95,GTLLX,18.63,USA
96,96,537007.BO,26.96,
97,97,EAASX,23.41,USA
98,98,RIRFX,23.74,USA
99,99,WSTRX,21.75,USA
100,100,PGRQX,16.16,USA
101,101,SMALTA1B.MX,26.77,Mexico
102,102,EKBYX,24.43,USA
103,103,RAFCX,22.86,USA
104,104,FLVEX,25.09,USA
105,105,FSGAX,23.82,USA
106,106,PSTQX,26.82,USA
107,107,PRDMX,22.58,USA
108,108,PRWCX,24.18,USA
109,109,S2016.MC,22.14,Spain
110,110,IDXPX,23.14,USA
111,111,HIGUX,21.76,USA
112,112,ANZRX,25.63,USA
113,113,ICMUX,28.16,USA
114,114,DQICX,22.52,USA
115,115,OWLSX,21.88,USA
116,116,USMYX,22.22,USA
117,117,FMPAX,23.33,USA
118,118,ACSLX,20.26,USA
119,119,WMGAX,23.41,USA
120,120,NECCX,23.35,USA
121,121,IBIIX,23.01,USA
122,122,NWIAX,23.84,USA
123,123,PARDX,23.5,USA
124,124,FLCSX,24.5,USA
125,125,WAGRX,23.02,USA
126,126,MUIFX,22.92,USA
127,127,WBLIX,22.99,USA
128,128,GTAAX,24.04,USA
129,129,MIGYX,21.72,USA
130,130,JMCCX,23.26,USA
