,Entity,Code,Year,Labour productivity per hour (2013=100)
0,United Kingdom,GBR,1760,3.876608992
1,United Kingdom,GBR,1761,3.955296872
2,United Kingdom,GBR,1762,3.846188926
3,United Kingdom,GBR,1763,3.834283904
4,United Kingdom,GBR,1764,3.801639474
5,United Kingdom,GBR,1765,3.726853298
6,United Kingdom,GBR,1766,3.71185805
7,United Kingdom,GBR,1767,3.692087275
8,United Kingdom,GBR,1768,3.681439107
9,United Kingdom,GBR,1769,3.792823272
10,United Kingdom,GBR,1770,3.659810318
11,United Kingdom,GBR,1771,3.674117186
12,United Kingdom,GBR,1772,3.566062982
13,United Kingdom,GBR,1773,3.586348513
14,United Kingdom,GBR,1774,3.48265799
15,United Kingdom,GBR,1775,3.530397292
16,United Kingdom,GBR,1776,3.581436043
17,United Kingdom,GBR,1777,3.62903412
18,United Kingdom,GBR,1778,3.59081265
19,United Kingdom,GBR,1779,3.562399665
20,United Kingdom,GBR,1780,3.666953138
21,United Kingdom,GBR,1781,3.712153706
22,United Kingdom,GBR,1782,3.656436876
23,United Kingdom,GBR,1783,3.581783309
24,United Kingdom,GBR,1784,3.573058442
25,United Kingdom,GBR,1785,3.507053867
26,United Kingdom,GBR,1786,3.504261622
27,United Kingdom,GBR,1787,3.409558752
28,United Kingdom,GBR,1788,3.370709243
29,United Kingdom,GBR,1789,3.387077345
30,United Kingdom,GBR,1790,3.533401682
31,United Kingdom,GBR,1791,3.500407155
32,United Kingdom,GBR,1792,3.566657489
33,United Kingdom,GBR,1793,3.513889343
34,United Kingdom,GBR,1794,3.431552101
35,United Kingdom,GBR,1795,3.64181185
36,United Kingdom,GBR,1796,3.645577653
37,United Kingdom,GBR,1797,3.592797497
38,United Kingdom,GBR,1798,3.556501745
39,United Kingdom,GBR,1799,3.599701574
40,United Kingdom,GBR,1800,3.672418417
41,United Kingdom,GBR,1801,3.689201843
42,United Kingdom,GBR,1802,3.719961175
43,United Kingdom,GBR,1803,3.682865923
44,United Kingdom,GBR,1804,3.668788866
45,United Kingdom,GBR,1805,3.768216897
46,United Kingdom,GBR,1806,3.715820582
47,United Kingdom,GBR,1807,3.835825423
48,United Kingdom,GBR,1808,3.671246145
49,United Kingdom,GBR,1809,3.741869216
50,United Kingdom,GBR,1810,3.879780926
51,United Kingdom,GBR,1811,3.839507155
52,United Kingdom,GBR,1812,3.723871441
53,United Kingdom,GBR,1813,3.872697008
54,United Kingdom,GBR,1814,3.818492371
55,United Kingdom,GBR,1815,3.983791551
56,United Kingdom,GBR,1816,3.831753124
57,United Kingdom,GBR,1817,3.867131138
58,United Kingdom,GBR,1818,3.83943638
59,United Kingdom,GBR,1819,3.792757574
60,United Kingdom,GBR,1820,3.91488901
61,United Kingdom,GBR,1821,3.914450196
62,United Kingdom,GBR,1822,3.916845396
63,United Kingdom,GBR,1823,3.94197651
64,United Kingdom,GBR,1824,4.056885915
65,United Kingdom,GBR,1825,4.084742432
66,United Kingdom,GBR,1826,3.967948179
67,United Kingdom,GBR,1827,4.139965798
68,United Kingdom,GBR,1828,4.163803818
69,United Kingdom,GBR,1829,4.162023824
70,United Kingdom,GBR,1830,4.225797881
71,United Kingdom,GBR,1831,4.275784051
72,United Kingdom,GBR,1832,4.337164229
73,United Kingdom,GBR,1833,4.321390268
74,United Kingdom,GBR,1834,4.380544539
75,United Kingdom,GBR,1835,4.542182873
76,United Kingdom,GBR,1836,4.588622052
77,United Kingdom,GBR,1837,4.575719922
78,United Kingdom,GBR,1838,4.715314958
79,United Kingdom,GBR,1839,4.712774531
80,United Kingdom,GBR,1840,4.888968495
81,United Kingdom,GBR,1841,4.81705752
82,United Kingdom,GBR,1842,4.75652564
83,United Kingdom,GBR,1843,4.685877336
84,United Kingdom,GBR,1844,4.88013706
85,United Kingdom,GBR,1845,4.971714036
