,Company name,Target value,Sector
0,(ACIP) Alexandria Company for Industrial Packages,0.25,Containers and Packaging
1,4most,0.23,Professional Services
2,A.G. Barr plc,0.6,Food and Beverage Processing
3,A.S. Watson Holdings Limited,0.58,Retailing
4,A/S Vestfrost,0.38,"Consumer Durables, Household and Personal Products"
5,A1 Telekom Austria Group,0.5,Telecommunication Services
6,A2A S.p.A.,1.0,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)"
7,A2G S.A.C B.I.C,0.46,Professional Services
8,AB InBev,1.0,Food and Beverage Processing
9,AB Volvo,0.5,Electrical Equipment and Machinery
10,ABB,0.8,Electrical Equipment and Machinery
11,ABOUT YOU,1.0,Retailing
12,ABP Food Group,0.27,Food and Beverage Processing
13,ACC Limited,0.484,Construction Materials
14,ACCIONA S.A.,0.6,Construction and Engineering
15,AD-II ENGINEERING INC.,0.38,"Consumer Durables, Household and Personal Products"
16,ADIENT plc,0.75,Automobiles and Components
17,AECOM,0.6,Construction and Engineering
18,AFRY (ÅF Pöyry),0.87,Professional Services
19,AIRINC,0.3,Professional Services
20,"AISACHI Co.,Ltd.",0.42,Technology Hardware and Equipment
21,AKISTEEL CO.LTD,0.3,"Mining - Iron, Aluminum, Other Metals"
22,ALDI Einkauf SE & Co. oHG,0.75,Retailing
23,ALDI SOUTH Group,0.75,Retailing
24,ALDO Group Inc.,0.4,"Textiles, Apparel, Footwear and Luxury Goods"
25,ALIMAC s.r.l.,0.5,Containers and Packaging
26,"ALMETAX MANUFACTURING CO.,LTD.",0.3,"Mining - Iron, Aluminum, Other Metals"
27,AM Værktøj Odense A/S,0.5,Technology Hardware and Equipment
28,AMF FASTIGHETER AB,1.0,Real Estate
29,AMICULUM Limited,0.38,Professional Services
30,ANA Holdings Inc.,0.31,Air Transportation - Airlines
31,ARC Alternative and Renewable Construction LLC,0.5,Construction and Engineering
32,"ARC CO., LTD.",0.5,"Trading Companies and Distributors, and Commercial Services and Supplies"
33,ARESTI CHILE WINE S.A.,0.5,Food and Beverage Processing
34,ARGOS WITYU PARTNERS S.A.,1.0,"Banks, Diverse Financials, Insurance"
35,"AROC･SANWA Co.,Ltd.",0.46,"Trading Companies and Distributors, and Commercial Services and Supplies"
36,"ARROW-M CO., LTD.",0.46,Building Products
37,ARÇELİK A.Ş.,0.3,"Consumer Durables, Household and Personal Products"
38,"ASAHI FIBER INDUSTRY CO., LTD.",0.5,Chemicals
39,"ASE Technology Holding, Co., Ltd.",0.35,Semiconductors and Semiconductors Equipment
40,ASICS Corporation,0.63,"Textiles, Apparel, Footwear and Luxury Goods"
41,ASKON DEMIR CELIK SANAYI TICARET AS,0.42,Construction Materials
42,ASKUL Corporation,1.0,Retailing
43,ASL Global Limited,0.46,Media
44,ASML Holdings,0.353,Semiconductors and Semiconductors Equipment
45,ASOS plc,1.0,Retailing
46,ASTM S.p.A.,0.25,Ground Transportation - Highways and Railtracks
47,AT&T Inc.,0.63,Telecommunication Services
48,AUO Corporation,0.25,Technology Hardware and Equipment
49,AVEVA Group,1.0,Software and Services
50,Aakel Technologies Inc.,0.38,Software and Services
51,Aardvark Certification Ltd,0.3,Professional Services
52,Aasted ApS,0.46,Electrical Equipment and Machinery
53,Abbott,0.82,Healthcare Equipment and Supplies
54,Abdi Ibrahim Pharmaceuticals,0.6,"Pharmaceuticals, Biotechnology and Life"
55,Abel & Cole Ltd.,0.535,Retailing
56,Abt Associates,0.386,Professional Services
57,Accenture PLC,0.65,Professional Services
58,Accor S.A.,0.46,"Hotels, Restaurants and Leisure, and Tourism Services"
59,Aceros AZA S.A.,0.5,"Mining - Iron, Aluminum, Other Metals"
60,Acque Bresciane,0.25,Water Utilities
61,Actiam NV,1.0,"Banks, Diverse Financials, Insurance"
