index,year,month,decile0.1,decile0.2,decile0.3,decile0.4,decile0.5,decile0.6,decile0.7,decile0.8,decile0.9
0,2003,2,0.85000002,1.0,1.1,1.2400000000000007,1.3,1.4,1.5,1.7,1.75
1,2003,3,0.85000002,1.0,1.15,1.25,1.3,1.4,1.5,1.7,1.75
2,2003,4,0.89999998,1.0,1.15,1.2200000000000002,1.3,1.4,1.5,1.7,1.75
3,2003,5,0.89999998,1.0,1.2,1.25,1.3,1.4,1.5,1.7,1.75
4,2003,6,0.94999999,1.0,1.2,1.25,1.3,1.4,1.5,1.7,1.75
5,2003,7,0.94999999,1.0,1.2,1.25,1.3,1.4,1.55,1.7,1.79
6,2003,8,0.9399999880000001,1.0,1.2,1.25,1.3,1.4,1.55,1.7,1.79
7,2003,9,0.94999999,1.0,1.2,1.25,1.3,1.4,1.55,1.7,1.79
8,2003,10,0.940999999,1.05,1.2,1.25,1.34,1.4,1.55,1.7,1.79
9,2003,11,0.934000006,1.0,1.2,1.2900000000000007,1.35,1.45,1.55,1.7,1.79
10,2003,12,0.9039999880000001,1.0,1.2,1.25,1.3,1.4,1.55,1.7,1.79
11,2004,1,0.9429999969999999,1.03,1.2,1.3,1.35,1.45,1.5539999999999998,1.7,1.79
12,2004,2,0.89999998,1.0,1.1,1.2,1.3,1.4,1.5,1.65,1.79
13,2004,3,0.89999998,1.0,1.1,1.2,1.3,1.4,1.5,1.65,1.79
14,2004,4,0.89999998,1.0,1.1,1.2,1.3,1.4,1.5,1.65,1.79
15,2004,5,0.89999998,1.0,1.15,1.25,1.3,1.4,1.5,1.65,1.79
16,2004,6,0.89999998,1.0,1.1549999999999996,1.25,1.3,1.4,1.5,1.65,1.79
17,2004,7,0.89999998,1.0,1.15,1.25,1.3,1.4,1.5,1.65,1.79
18,2004,8,0.89999998,1.0,1.1949999999999996,1.25,1.3,1.4,1.5,1.65,1.79
19,2004,9,0.89999998,1.0,1.2,1.25,1.3,1.4,1.5,1.65,1.79
20,2004,10,0.89999998,1.0,1.2,1.2580000000000002,1.3,1.4,1.5299999999999998,1.65,1.79
21,2004,11,0.94999999,1.0,1.2,1.2980000000000003,1.35,1.45,1.55,1.7,1.79
22,2004,12,0.94999999,1.0,1.2,1.25,1.35,1.49,1.55,1.7,1.79
23,2005,1,0.94999999,1.0,1.2,1.3,1.35,1.5,1.55,1.7,1.79
24,2005,2,0.89999998,1.0,1.15,1.25,1.3,1.45,1.55,1.7,1.79
25,2005,3,0.89999998,1.0,1.1649999999999998,1.25,1.3,1.45,1.5779999999999996,1.7,1.79
26,2005,4,0.94999999,1.0,1.2,1.25,1.35,1.5,1.59,1.7,1.79
27,2005,5,0.94999999,1.0,1.2,1.25,1.315,1.45,1.55,1.7,1.79
28,2005,6,0.94999999,1.0,1.2,1.29,1.4,1.5,1.6,1.7,1.85
29,2005,7,0.94999999,1.05,1.2,1.3,1.4,1.5,1.6,1.7,1.85
30,2005,8,0.99000001,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.85
31,2005,9,0.94999999,1.0819999999999999,1.2,1.3,1.4,1.5,1.6,1.75,1.85
32,2005,10,0.9539999920000001,1.1,1.2,1.3,1.4,1.5,1.6,1.75,1.85
33,2005,11,1.0,1.1,1.2,1.3,1.4,1.5,1.65,1.75,1.85
34,2005,12,0.996000004,1.1,1.2399999999999998,1.3,1.4,1.5,1.65,1.75,1.85
35,2006,1,0.9950000050000001,1.1,1.25,1.3,1.4249999999999998,1.5,1.65,1.75,1.85
36,2006,2,0.94999999,1.1,1.2,1.3,1.45,1.55,1.7,1.8,1.85
37,2006,3,0.94999999,1.1,1.2,1.3,1.45,1.55,1.7,1.8,1.85
38,2006,4,0.9780000040000002,1.1,1.2049999999999996,1.3,1.45,1.55,1.7,1.8,1.85
39,2006,5,0.998000002,1.15,1.25,1.35,1.45,1.55,1.7,1.8,1.85
40,2006,6,1.0,1.15,1.25,1.3820000000000001,1.45,1.55,1.7,1.8,1.85
