,Unnamed: 0.1,decile0.2,decile0.5,decile0.8,date
0,0,1.0,1.3,1.7,2003-02-01
1,1,1.0,1.3,1.7,2003-03-01
2,2,1.0,1.3,1.7,2003-04-01
3,3,1.0,1.3,1.7,2003-05-01
4,4,1.0,1.3,1.7,2003-06-01
5,5,1.0,1.3,1.7,2003-07-01
6,6,1.0,1.3,1.7,2003-08-01
7,7,1.0,1.3,1.7,2003-09-01
8,8,1.05,1.34,1.7,2003-10-01
9,9,1.0,1.35,1.7,2003-11-01
10,10,1.0,1.3,1.7,2003-12-01
11,11,1.03,1.35,1.7,2004-01-01
12,12,1.0,1.3,1.65,2004-02-01
13,13,1.0,1.3,1.65,2004-03-01
14,14,1.0,1.3,1.65,2004-04-01
15,15,1.0,1.3,1.65,2004-05-01
16,16,1.0,1.3,1.65,2004-06-01
17,17,1.0,1.3,1.65,2004-07-01
18,18,1.0,1.3,1.65,2004-08-01
19,19,1.0,1.3,1.65,2004-09-01
20,20,1.0,1.3,1.65,2004-10-01
21,21,1.0,1.35,1.7,2004-11-01
22,22,1.0,1.35,1.7,2004-12-01
23,23,1.0,1.35,1.7,2005-01-01
24,24,1.0,1.3,1.7,2005-02-01
25,25,1.0,1.3,1.7,2005-03-01
26,26,1.0,1.35,1.7,2005-04-01
27,27,1.0,1.315,1.7,2005-05-01
28,28,1.0,1.4,1.7,2005-06-01
29,29,1.05,1.4,1.7,2005-07-01
30,30,1.1,1.4,1.7,2005-08-01
31,31,1.082,1.4,1.75,2005-09-01
32,32,1.1,1.4,1.75,2005-10-01
33,33,1.1,1.4,1.75,2005-11-01
34,34,1.1,1.4,1.75,2005-12-01
35,35,1.1,1.4249999999999998,1.75,2006-01-01
36,36,1.1,1.45,1.8,2006-02-01
37,37,1.1,1.45,1.8,2006-03-01
38,38,1.1,1.45,1.8,2006-04-01
39,39,1.15,1.45,1.8,2006-05-01
40,40,1.15,1.45,1.8,2006-06-01
41,41,1.1740000600000002,1.5,1.8,2006-07-01
42,42,1.18200008,1.5,1.8,2006-08-01
43,43,1.15,1.5,1.8,2006-09-01
44,44,1.2,1.5,1.85,2006-10-01
45,45,1.2,1.5,1.85,2006-11-01
46,46,1.2,1.5,1.85,2006-12-01
47,47,1.2,1.5,1.85,2007-01-01
48,48,1.2,1.5,1.85,2007-02-01
49,49,1.2,1.5,1.89,2007-03-01
50,50,1.2,1.5,1.89,2007-04-01
51,51,1.2,1.5,1.85,2007-05-01
52,52,1.2,1.5,1.85,2007-06-01
53,53,1.2,1.5,1.886,2007-07-01
54,54,1.2,1.5,1.89,2007-08-01
55,55,1.2,1.6,1.9,2007-09-01
56,56,1.2,1.6,1.9,2007-10-01
57,57,1.2,1.6,1.9,2007-11-01
58,58,1.2,1.6,1.95,2007-12-01
59,59,1.2,1.6,1.95,2008-01-01
60,60,1.3,1.65,1.99,2008-02-01
61,61,1.3,1.7,2.0,2008-03-01
62,62,1.3,1.75,2.05,2008-04-01
63,63,1.3,1.75,2.05,2008-05-01
64,64,1.3,1.75,2.05,2008-06-01
65,65,1.39,1.8,2.05,2008-07-01
66,66,1.392,1.8,2.05,2008-08-01
67,67,1.4,1.8,2.05,2008-09-01
68,68,1.4,1.8,2.05,2008-10-01
69,69,1.396,1.85,2.05,2008-11-01
70,70,1.366,1.8,2.0,2008-12-01
71,71,1.366,1.8099999,1.992,2009-01-01
72,72,1.4,1.8099999,1.998,2009-02-01
73,73,1.4,1.85,2.0,2009-03-01
74,74,1.4,1.85,2.0,2009-04-01
75,75,1.4,1.85,2.0,2009-05-01
76,76,1.43,1.85,2.0,2009-06-01
77,77,1.4,1.85,2.0,2009-07-01
78,78,1.45,1.85,2.0,2009-08-01
79,79,1.45,1.85,2.0,2009-09-01
80,80,1.45,1.85,2.0,2009-10-01
81,81,1.45,1.85,2.0,2009-11-01
82,82,1.5,1.85,2.0,2009-12-01
83,83,1.49,1.85,2.05,2010-01-01
84,84,1.4,1.85,2.05,2010-02-01
85,85,1.4,1.8,2.05,2010-03-01
86,86,1.398,1.8,2.05,2010-04-01
87,87,1.4,1.825,2.05,2010-05-01
88,88,1.4,1.8,2.05,2010-06-01
89,89,1.4,1.825,2.05,2010-07-01
90,90,1.4,1.85,2.05,2010-08-01
91,91,1.396,1.85,2.0999999,2010-09-01
92,92,1.4,1.85,2.0999999,2010-10-01
93,93,1.4,1.89,2.0999999,2010-11-01
94,94,1.4,1.9,2.0999999,2010-12-01
95,95,1.4,1.9,2.0999999,2011-01-01
96,96,1.4,1.9,2.0999999,2011-02-01
97,97,1.4,1.9,2.0999999,2011-03-01
98,98,1.4,1.9,2.0999999,2011-04-01
99,99,1.4,1.9,2.1500001,2011-05-01
100,100,1.45,1.9,2.1500001,2011-06-01
101,101,1.45,1.9,2.1500001,2011-07-01
102,102,1.45,1.9,2.1500001,2011-08-01
103,103,1.5,1.95,2.1500001,2011-09-01
104,104,1.5,1.95,2.1500001,2011-10-01
105,105,1.5,1.925,2.1500001,2011-11-01
106,106,1.5,1.95,2.1500001,2011-12-01
107,107,1.5,1.95,2.1500001,2012-01-01
108,108,1.49,1.82999995,2.1500001,2012-02-01
109,109,1.49,1.85,2.1500001,2012-03-01
110,110,1.5,1.80499995,2.1500001,2012-04-01
111,111,1.5,1.85,2.1500001,2012-05-01
112,112,1.5,1.85,2.1500001,2012-06-01
113,113,1.5,1.85,2.1500001,2012-07-01
114,114,1.5,1.85,2.1500001,2012-08-01
115,115,1.5,1.9,2.1500001,2012-09-01
116,116,1.5,1.85,2.1500001,2012-10-01
117,117,1.5,1.9,2.1500001,2012-11-01
118,118,1.55,1.9,2.1500001,2012-12-01
119,119,1.55,1.9,2.1500001,2013-01-01
120,120,1.55,1.95,2.1500001,2013-02-01
121,121,1.55,1.95,2.1500001,2013-03-01
122,122,1.55,1.95,2.1500001,2013-04-01
123,123,1.55,1.95,2.1500001,2013-05-01
124,124,1.55,1.975,2.1500001,2013-06-01
125,125,1.6,1.95,2.1500001,2013-07-01
126,126,1.6,1.975,2.1500001,2013-08-01
127,127,1.6,2.0,2.1900000200000007,2013-09-01
128,128,1.6,2.0,2.1600001,2013-10-01
129,129,1.6,2.0,2.25,2013-11-01
130,130,1.6,2.0,2.25,2013-12-01
131,131,1.65,2.0,2.25,2014-01-01
132,132,1.65,2.0,2.25,2014-02-01
133,133,1.65,2.0,2.25,2014-03-01
134,134,1.65,2.0,2.25,2014-04-01
135,135,1.65,2.0,2.25,2014-05-01
136,136,1.65,2.0,2.25,2014-06-01
137,137,1.7,2.0,2.25,2014-07-01
138,138,1.7,2.0,2.25,2014-08-01
139,139,1.7,2.0,2.25,2014-09-01
140,140,1.7,2.0,2.25,2014-10-01
141,141,1.7,2.05,2.25,2014-11-01
142,142,1.7,2.0999999,2.25,2014-12-01
143,143,1.75,2.0999999,2.25,2015-01-01
144,144,1.7,2.0999999,2.25,2015-02-01
145,145,1.7,2.05,2.25,2015-03-01
146,146,1.7,2.05,2.25,2015-04-01
147,147,1.7,2.0999999,2.25,2015-05-01
148,148,1.75,2.0999999,2.25,2015-06-01
149,149,1.7,2.0999999,2.25,2015-07-01
150,150,1.7,2.0999999,2.25,2015-08-01
151,151,1.7,2.0999999,2.25,2015-09-01
152,152,1.7,2.0999999,2.25,2015-10-01
153,153,1.7,2.0999999,2.3,2015-11-01
154,154,1.75,2.1500001,2.3,2015-12-01
155,155,1.7,2.1500001,2.3,2016-01-01
156,156,1.75,2.1500001,2.3,2016-02-01
157,157,1.75,2.1500001,2.3,2016-03-01
158,158,1.75,2.2,2.3,2016-04-01
159,159,1.75,2.2,2.3,2016-05-01
160,160,1.75,2.2,2.3,2016-06-01
161,161,1.8,2.2,2.3,2016-07-01
162,162,1.8,2.2,2.3,2016-08-01
163,163,1.8,2.2,2.3399999200000003,2016-09-01
164,164,1.8,2.2,2.3,2016-10-01
165,165,1.8,2.2,2.3,2016-11-01
166,166,1.8,2.2,2.3,2016-12-01
167,167,1.8,2.2,2.36999998,2017-01-01
168,168,1.8,2.2,2.3499999,2017-02-01
169,169,1.8,2.2,2.3499999,2017-03-01
170,170,1.8,2.2,2.4000001,2017-04-01
171,171,1.8,2.25,2.4000001,2017-05-01
172,172,1.8,2.21,2.4000001,2017-06-01
173,173,1.8,2.205,2.4000001,2017-07-01
174,174,1.8,2.25,2.4000001,2017-08-01
175,175,1.8,2.25,2.4000001,2017-09-01
176,176,1.8,2.25,2.4000001,2017-10-01
177,177,1.8,2.25,2.45,2017-11-01
178,178,1.8,2.25,2.410000080000001,2017-12-01
179,179,1.85,2.275,2.45,2018-01-01
180,180,1.85,2.3,2.5,2018-02-01
181,181,1.85,2.3,2.5,2018-03-01
182,182,1.85,2.3,2.5,2018-04-01
183,183,1.85,2.3,2.5,2018-05-01
184,184,1.85,2.3499999,2.5,2018-06-01
185,185,1.85,2.3499999,2.5,2018-07-01
186,186,1.85,2.3,2.5,2018-08-01
187,187,1.9,2.3499999,2.5,2018-09-01
188,188,1.9,2.3,2.5,2018-10-01
189,189,1.9,2.3499999,2.52,2018-11-01
190,190,1.9,2.4000001,2.55,2018-12-01
191,191,1.9,2.4000001,2.55,2019-01-01
192,192,1.9,2.4000001,2.55,2019-02-01
193,193,1.9,2.45,2.55,2019-03-01
194,194,1.9,2.45,2.55,2019-04-01
195,195,1.94,2.45,2.5999999,2019-05-01
196,196,1.93,2.45,2.5999999,2019-06-01
197,197,1.95,2.45,2.5999999,2019-07-01
198,198,1.996,2.45,2.5999999,2019-08-01
199,199,2.0,2.45,2.5999999,2019-09-01
200,200,2.0,2.45,2.5999999,2019-10-01
201,201,2.0,2.5,2.6500001,2019-11-01
202,202,2.0,2.5,2.6900000200000007,2019-12-01
203,203,2.0,2.5,2.7,2020-01-01
204,204,2.0999999,2.55,2.75,2020-02-01
205,205,2.0999999,2.55,2.75,2020-03-01
206,206,2.45,2.55,2.75,2020-05-01
