,Symbol,Revenuegrowth,ESG rating
0,A,-0.21952290355627102,11.36
1,AAPL,1.9819197770020587,16.79
2,ABBV,-6.8780146544423575,26.1
3,ABNB,15.307048502571341,23.75
4,ABT,-8.835922112244136,22.21
5,ACGL,27.35820670979389,20.27
6,ACN,1.209186065977339,11.91
7,ADBE,9.289504868875264,14.06
8,ADI,-30.532874333163225,18.28
9,ADM,-8.113056901048598,31.26
10,ADP,5.386210728411973,15.12
12,AEE,-6.093333333333333,26.23
13,AEP,-3.4621726555791446,22.09
14,AES,0.4025892011367225,23.48
15,AFL,-1.6453479114696672,17.46
16,AIG,-15.908658017819729,23.6
17,AIZ,8.431851665528765,23.48
18,AJG,15.104399368540196,20.26
19,AKAM,5.122510440932653,13.31
20,ALB,23.885312600763445,20.11
21,ALGN,3.3044124424559715,18.58
22,ALL,9.953760465197744,21.29
23,ALLE,10.378547167744056,19.83
24,AMAT,2.760493268469284,11.56
25,AMCR,-7.727272727272727,14.69
26,AMD,-4.060846560846561,13.83
27,AME,6.76706659895861,21.13
28,AMGN,6.622915927633913,22.76
29,AMP,8.220148052784037,18.71
30,AMT,3.8863265196245584,12.62
32,AMZN,10.578216202580096,29.01
33,ANET,25.235761159065746,13.71
34,ANSS,9.004431377092613,14.5
35,AON,6.70604066985646,15.29
36,AOS,2.5669642857142856,26.82
37,APA,-33.77219470950598,43.08
38,APD,-4.127068079268796,14.83
39,APH,-0.5440193712314909,17.89
40,APTV,12.777417585157846,12.89
41,ARE,10.283019815996056,13.14
42,ATO,-2.645019299253551,31.23
43,AVB,6.303061263936062,8.09
44,AVGO,7.303386470867417,19.2
45,AVY,-8.07001183601736,15.39
46,AWK,10.439300897496457,19.07
47,AXON,23.88756235644186,30.49
48,AXP,12.926792902937228,18.28
49,AZO,5.58704178868581,10.98
50,BA,14.379000951230173,36.55
51,BAC,3.683265537983993,24.36
52,BALL,-9.409081188965713,10.31
53,BAX,2.0725038817255115,21.84
54,BBY,-6.5497560526558045,13.8
55,BDX,3.994449400337001,23.67
56,BEN,7.41448454824251,19.48
58,BG,-12.9190460194827,32.92
59,BIIB,-3.434462564561389,20.51
60,BK,7.280402474989881,19.93
61,BKNG,20.009361104610342,16.35
