,Ticker,ESG Score
0,IYSMX,26.11
1,USBSX,24.37
2,RIMIX,26.69
3,WFLVX,23.68
4,PAFFX,23.63
5,MGQLX,19.83
6,MDIIX,22.34
7,AWAKX,22.63
8,VPCCX,23.02
9,ACAZX,21.17
10,HERCX,27.4
11,GHAYX,32.7
12,ARDVX,23.19
13,FRDTX,22.34
14,ANJIX,23.09
15,PTBNX,23.5
16,OISVX,26.19
17,ZSCIX,29.55
18,FWWFX,21.54
19,SENAX,23.25
20,NQVAX,25.02
21,PNGYX,23.2
22,JAENX,22.5
23,MDDVX,24.87
24,NIQTX,19.54
25,LIPIX,22.82
26,GGBZX,22.89
27,PCGRX,23.61
28,JLJAX,23.78
29,WRAAX,22.95
30,SWERX,22.72
31,WAAEX,26.84
32,NPFCX,23.09
33,MADVX,24.87
34,MLGRX,20.01
35,HCACX,22.91
36,JAMVX,25.18
37,PCHSX,25.87
38,ISZAX,23.99
39,PCBCX,22.19
40,IPESX,24.29
41,DAFGX,19.6
42,WCEYX,21.46
43,QGRCX,23.92
44,MFELX,20.59
45,GLNMX,21.73
46,USBNX,26.86
47,DFQTX,23.64
48,RSNRX,41.21
49,AUSAX,27.54
50,AGOZX,27.43
51,FSPHX,26.95
52,JILBX,24.67
53,QUARX,28.78
54,CSRSX,15.92
55,GTNYX,22.08
56,MUXYX,22.05
57,OAKBX,25.17
58,VEURX,21.64
59,ARTMX,22.93
60,CDVZX,23.28
61,BIAHX,22.31
62,PRGFX,21.15
63,LTPDX,23.38
64,BIAQX,25.59
65,NRFYX,15.59
66,MGOYX,23.58
67,USMCX,22.22
68,TWGAX,19.6
69,HCAYX,22.91
70,VCIGX,23.46
71,JRLQX,23.23
72,ACGQX,24.77
73,IGAAX,23.11
74,BLPIX,21.86
75,WMGYX,23.41
76,TCWAX,26.23
77,ISGAX,23.93
78,S2966.MC,22.82
79,FITHX,23.7
80,RINGX,24.72
81,OLVAX,24.82
82,CHUSX,20.97
83,PLWIX,23.5
84,CPRAX,23.7
85,GBLIX,23.82
86,MNDIX,25.22
87,GSCTX,28.93
88,SGIIX,22.97
89,BGLAX,25.42
90,ARFFX,25.51
91,DTGRX,21.6
92,WEMCX,29.41
93,KAUFX,27.61
94,WAEMX,24.33
95,GTLLX,18.63
96,537007.BO,26.96
97,EAASX,23.41
98,RIRFX,23.74
99,WSTRX,21.75
100,PGRQX,16.16
101,SMALTA1B.MX,26.77
102,EKBYX,24.43
103,RAFCX,22.86
104,FLVEX,25.09
105,FSGAX,23.82
106,PSTQX,26.82
107,PRDMX,22.58
108,PRWCX,24.18
109,S2016.MC,22.14
110,IDXPX,23.14
111,HIGUX,21.76
112,ANZRX,25.63
113,ICMUX,28.16
114,DQICX,22.52
115,OWLSX,21.88
116,USMYX,22.22
117,FMPAX,23.33
118,ACSLX,20.26
119,WMGAX,23.41
120,NECCX,23.35
121,IBIIX,23.01
122,NWIAX,23.84
123,PARDX,23.5
124,FLCSX,24.5
125,WAGRX,23.02
126,MUIFX,22.92
127,WBLIX,22.99
128,GTAAX,24.04
129,MIGYX,21.72
130,JMCCX,23.26
131,NRFNX,15.59
132,EARSX,21.37
133,PAGEX,16.54
134,FIRIX,17.92
135,VGELX,31.32
136,BGEIX,32.03
137,AFPAX,26.35
138,TEQAX,21.38
139,EITMX,22.5
140,RYPRX,24.99
141,AZSAX,27.91
142,DFIPX,24.81
143,POSKX,22.96
144,REETX,23.55
145,TSGRX,23.11
146,AEPFX,24.1
147,DDVIX,23.31
148,URTCX,15.46
149,VAFAX,21.68
150,RDWFX,26.43
151,JSIVX,28.88
152,DAVPX,20.97
153,ABCSX,24.88
154,MMABX,22.9
155,SGGDX,30.47
156,COCVX,23.6
157,FSUTX,32.56
158,JLKEX,23.77
159,MINIX,20.76
160,VMIDX,25.16
161,PIIRX,23.2
162,VGSLX,15.86
163,FAJTX,23.5
164,HJPIX,21.55
165,JRTBX,23.68
166,SGFCX,27.43
167,TRVLX,23.64
168,INBURSAB-2.MX,33.74
169,PGEMX,22.55
170,MACSX,22.93
171,VSMGX,23.22
172,FAOTX,23.8
173,SCUVX,28.2
174,S0660.MC,23.23
175,MMIZX,22.05
176,LYRBX,21.88
177,HATRX,23.36
178,DMECX,28.19
179,NDVCX,27.75
180,CMTFX,18.98
181,MCNVX,27.17
182,RDVIX,25.72
183,VBINX,22.86
184,PIGFX,19.56
185,MLVTX,22.49
